"","sp_full_in_vec","sp_full_out_vec","sp_advice_in_vec","sp_advice_out_vec","sp_friendship_in_vec","sp_friendship_out_vec","sp_reports_to_in_vec","sp_reports_to_out_vec"
"1",1.19047619047619,1.57142857142857,1.42857142857143,1.61904761904762,Inf,2.28571428571429,Inf,Inf
"2",1,1.66666666666667,1.04761904761905,2.14285714285714,Inf,2.38095238095238,Inf,Inf
"3",1.57142857142857,1.14285714285714,1.71428571428571,1.19047619047619,Inf,2.33333333333333,Inf,Inf
"4",1.42857142857143,1.33333333333333,1.52380952380952,1.33333333333333,Inf,1.66666666666667,Inf,Inf
"5",1.57142857142857,1.14285714285714,1.9047619047619,1.19047619047619,Inf,1.57142857142857,Inf,Inf
"6",1.38095238095238,1.66666666666667,1.42857142857143,2.28571428571429,Inf,1.66666666666667,Inf,Inf
"7",1.23809523809524,1.52380952380952,1.28571428571429,1.52380952380952,Inf,Inf,1.71428571428571,Inf
"8",1.33333333333333,1.52380952380952,1.42857142857143,1.52380952380952,Inf,2.57142857142857,Inf,Inf
"9",1.47619047619048,1.28571428571429,1.95238095238095,1.28571428571429,Inf,Inf,Inf,Inf
"10",1.42857142857143,1.14285714285714,1.66666666666667,1.23809523809524,Inf,1.76190476190476,Inf,Inf
"11",1.28571428571429,1.23809523809524,1.42857142857143,2.14285714285714,Inf,1.28571428571429,Inf,Inf
"12",1.28571428571429,1.71428571428571,1.61904761904762,2.19047619047619,Inf,1.76190476190476,Inf,Inf
"13",1.76190476190476,1.57142857142857,1.95238095238095,1.61904761904762,Inf,2.04761904761905,Inf,Inf
"14",1.38095238095238,1.66666666666667,1.42857142857143,1.71428571428571,Inf,2.38095238095238,Inf,Inf
"15",1.57142857142857,0.952380952380952,1.95238095238095,0.952380952380952,Inf,1.57142857142857,Inf,Inf
"16",1.47619047619048,1.71428571428571,1.66666666666667,1.76190476190476,Inf,3.04761904761905,Inf,Inf
"17",1.33333333333333,1.04761904761905,1.47619047619048,1.9047619047619,Inf,1.04761904761905,Inf,Inf
"18",1.0952380952381,1.0952380952381,1.19047619047619,1.0952380952381,Inf,3.28571428571429,Inf,Inf
"19",1.57142857142857,1.33333333333333,1.95238095238095,1.38095238095238,Inf,1.52380952380952,Inf,Inf
"20",1.47619047619048,1.33333333333333,1.57142857142857,1.33333333333333,Inf,2.0952380952381,Inf,Inf
"21",1.19047619047619,1.38095238095238,1.19047619047619,1.38095238095238,Inf,1.76190476190476,Inf,Inf
